date,channel,campaign,segment,geo,spend,impressions,clicks,leads,MQLs,SQLs,opportunities,closed_won,CAC,CPL,CTR,CVR_stagewise,ROI
2024-01-03,Facebook Ads,Q3 Feature,ENT,US,2875.87,359483,8254,356,241,89,68,11,243.13,8.06,0.023,0.0432,821.61
2024-01-03,LinkedIn,Q2 Demo,SMB,US,542.82,21712,733,92,66,14,11,3,168.81,5.86,0.0338,0.1262,147.09
2024-01-03,LinkedIn,Q4 Holiday,MM,APAC,711.48,28459,1293,130,96,26,19,4,146.98,5.45,0.0455,0.1009,509.29
2024-01-03,LinkedIn,Q4 Holiday,ENT,APAC,2257.52,90300,4481,258,196,64,54,14,155.98,8.73,0.0496,0.0577,1281.2
2024-01-03,Content Marketing,Q2 Demo,SMB,APAC,1069.69,213937,3322,260,161,50,36,6,169.7,4.1,0.0155,0.0785,146.32
2024-01-03,Content Marketing,Q3 Feature,MM,EU,1694.4,338879,3184,307,186,38,33,4,374.41,5.51,0.0094,0.0965,199.32
2024-01-03,Content Marketing,Product Launch,ENT,APAC,732.06,146412,2049,150,96,31,22,3,211.32,4.87,0.014,0.0734,945.45
2024-01-04,Google Ads,Product Launch,SMB,US,5068.36,337890,10284,2028,1511,597,479,135,37.51,2.5,0.0304,0.1972,665.57
2024-01-04,Google Ads,Webinar Series,MM,EU,6572.03,438135,13406,929,572,117,104,13,470.9,7.07,0.0306,0.0693,158.27
2024-01-04,Google Ads,Webinar Series,ENT,EU,5757.48,383832,15760,504,318,79,64,9,638.13,11.42,0.0411,0.032,312.42
2024-01-04,Facebook Ads,Q2 Demo,SMB,Canada,3945.38,493172,12361,1651,1192,338,253,84,46.74,2.39,0.0251,0.1336,533.93
2024-01-04,Facebook Ads,Q4 Holiday,MM,APAC,4266.91,533363,9157,830,576,126,101,23,182.7,5.14,0.0172,0.0907,409.5
2024-01-04,Facebook Ads,Product Launch,ENT,EU,1705.06,213132,4173,83,60,19,14,1,1093.51,20.35,0.0196,0.0201,181.9
2024-01-04,LinkedIn,Product Launch,SMB,APAC,788.25,31530,1011,163,119,27,19,4,158.14,4.81,0.0321,0.1619,157.09
2024-01-04,LinkedIn,Q1 Brand,MM,EU,459.51,18380,837,79,57,15,13,2,170.32,5.75,0.0455,0.0955,439.35
2024-01-04,LinkedIn,Q1 Brand,ENT,APAC,3066.52,122660,3364,160,127,48,35,6,510.46,19.1,0.0274,0.0477,390.8
2024-01-04,Content Marketing,Q4 Holiday,SMB,APAC,854.07,170814,2668,405,245,88,67,15,56.0,2.11,0.0156,0.1519,445.46
2024-01-04,Content Marketing,Q1 Brand,MM,EU,1107.1,221420,2861,290,217,78,59,12,88.03,3.81,0.0129,0.1016,850.94
2024-01-04,Content Marketing,Webinar Series,ENT,APAC,1165.52,233104,2999,69,52,14,12,1,823.45,16.76,0.0129,0.0232,241.88
2024-01-05,Google Ads,Q2 Demo,SMB,Canada,4673.48,311565,13301,1991,1235,470,376,109,42.68,2.35,0.0427,0.1497,584.76
2024-01-05,Google Ads,Q4 Holiday,MM,Canada,4215.22,281014,11702,869,523,199,143,33,125.68,4.85,0.0416,0.0743,595.75
2024-01-05,Google Ads,Q2 Demo,ENT,APAC,5486.25,365749,12468,641,465,134,102,17,319.15,8.55,0.0341,0.0515,625.67
2024-01-05,Facebook Ads,Q2 Demo,SMB,EU,4204.92,525615,7996,1181,895,195,156,44,95.06,3.56,0.0152,0.1477,262.0
2024-01-05,Facebook Ads,Product Launch,MM,APAC,3075.8,384475,6648,687,460,102,74,14,211.29,4.47,0.0173,0.1034,353.97
2024-01-05,Facebook Ads,Product Launch,ENT,Canada,3613.84,451730,11488,499,381,130,93,14,247.93,7.23,0.0254,0.0435,805.68
2024-01-05,LinkedIn,Webinar Series,SMB,Canada,210.38,8415,272,25,19,6,4,1,185.72,8.21,0.0323,0.0941,133.61
2024-01-05,LinkedIn,Q3 Feature,MM,EU,439.54,17581,790,50,31,7,5,1,381.4,8.74,0.045,0.0636,195.65
2024-01-05,LinkedIn,Q2 Demo,ENT,Canada,2259.67,90386,5314,257,168,63,47,7,296.61,8.79,0.0588,0.0484,673.28
2024-01-05,Content Marketing,Q1 Brand,SMB,US,1020.9,204179,3665,502,353,115,96,24,41.74,2.03,0.018,0.1371,597.98
2024-01-05,Content Marketing,Q1 Brand,MM,EU,1645.95,329190,4180,421,256,65,58,12,135.47,3.9,0.0127,0.1009,552.63
2024-01-05,Content Marketing,Product Launch,ENT,EU,966.72,193344,3466,97,62,18,14,2,396.09,9.89,0.0179,0.0282,503.94
2024-01-06,Google Ads,Product Launch,SMB,Canada,3861.3,257420,9280,1227,812,294,246,84,45.51,3.14,0.0361,0.1323,548.27
2024-01-06,Google Ads,Webinar Series,MM,US,6112.94,407529,18476,1788,1382,289,203,39,153.98,3.42,0.0453,0.0968,486.08
2024-01-06,Google Ads,Q4 Holiday,ENT,Canada,6769.16,451277,14312,347,276,101,88,16,402.24,19.46,0.0317,0.0243,496.22
2024-01-06,Facebook Ads,Webinar Series,SMB,Canada,547.74,68466,1122,130,100,36,32,8,67.41,4.2,0.0164,0.1161,369.86
2024-01-06,Facebook Ads,Webinar Series,MM,APAC,3005.24,375655,7583,524,362,81,72,16,183.4,5.73,0.0202,0.0692,407.94
2024-01-06,Facebook Ads,Webinar Series,ENT,US,1631.41,203926,4515,297,199,44,37,7,223.85,5.48,0.0221,0.0659,892.47
2024-01-06,LinkedIn,Product Launch,SMB,US,810.23,32409,1492,242,172,53,47,11,67.95,3.34,0.046,0.1625,366.89
2024-01-06,LinkedIn,Product Launch,MM,APAC,295.92,11836,503,58,37,8,5,1,210.19,5.07,0.0426,0.1157,355.81
2024-01-06,LinkedIn,Product Launch,ENT,APAC,2529.21,101168,2951,95,74,20,16,1,1769.89,26.57,0.0292,0.0323,112.0
2024-01-06,Content Marketing,Q1 Brand,SMB,APAC,853.99,170797,3245,504,398,91,80,21,39.61,1.69,0.019,0.1553,630.13
2024-01-06,Content Marketing,Q4 Holiday,MM,EU,488.99,97797,1450,129,90,24,19,3,123.91,3.78,0.0148,0.0892,604.28
2024-01-06,Content Marketing,Q4 Holiday,ENT,US,963.13,192625,2845,95,63,24,19,3,304.33,10.11,0.0148,0.0335,656.18
2024-01-07,Google Ads,Product Launch,SMB,APAC,3521.41,234760,9044,912,579,126,91,19,183.07,3.86,0.0385,0.1009,135.56
2024-01-07,Google Ads,Webinar Series,MM,EU,2848.87,189924,6392,520,383,79,68,7,381.92,5.48,0.0337,0.0814,195.38
2024-01-07,Google Ads,Webinar Series,ENT,US,3950.41,263360,9612,464,353,123,91,13,302.49,8.51,0.0365,0.0483,660.18
2024-01-07,Facebook Ads,Product Launch,SMB,APAC,2452.72,306590,4625,950,640,187,159,37,65.74,2.58,0.0151,0.2055,379.29
2024-01-07,Facebook Ads,Product Launch,MM,EU,3576.56,447069,9497,1461,908,262,212,51,68.9,2.45,0.0212,0.1539,1087.59
2024-01-07,Facebook Ads,Q2 Demo,ENT,APAC,2189.49,273686,4483,211,140,34,26,3,565.17,10.35,0.0164,0.0472,352.88
2024-01-07,LinkedIn,Q2 Demo,SMB,US,837.43,33497,1773,212,131,40,32,10,78.49,3.95,0.0529,0.1197,317.52
2024-01-07,LinkedIn,Webinar Series,MM,APAC,411.9,16475,976,68,46,15,12,2,191.15,5.97,0.0592,0.0707,391.36
2024-01-07,LinkedIn,Q4 Holiday,ENT,US,1300.72,52028,2604,104,66,17,12,1,761.62,12.41,0.0501,0.0402,261.6
2024-01-07,Content Marketing,Q1 Brand,SMB,APAC,249.17,49834,849,113,88,32,24,5,42.15,2.19,0.0171,0.134,592.16
2024-01-07,Content Marketing,Q3 Feature,MM,EU,1150.28,230055,2776,228,163,41,35,8,140.01,5.03,0.0121,0.0824,534.69
2024-01-07,Content Marketing,Q1 Brand,ENT,EU,830.63,166126,1992,107,70,15,12,0,830.63,7.69,0.012,0.0542,208.47
2024-01-08,Google Ads,Webinar Series,SMB,US,5957.89,397192,9282,1091,771,162,124,23,252.58,5.46,0.0234,0.1176,97.98
2024-01-08,Google Ads,Q1 Brand,MM,Canada,4097.05,273136,11013,1173,843,248,194,44,91.33,3.49,0.0403,0.1066,820.22
2024-01-08,Google Ads,Q1 Brand,ENT,EU,5865.61,391040,13130,729,574,135,96,12,459.25,8.04,0.0336,0.0556,434.49
2024-01-08,Facebook Ads,Q2 Demo,SMB,Canada,3488.04,436005,11475,1327,1007,242,177,45,76.88,2.63,0.0263,0.1157,324.2
2024-01-08,Facebook Ads,Webinar Series,MM,EU,3394.45,424306,7771,675,453,170,132,37,90.39,5.02,0.0183,0.087,828.69
2024-01-08,Facebook Ads,Q3 Feature,ENT,Canada,2749.88,343734,8663,345,227,79,63,5,518.82,7.96,0.0252,0.0399,384.49
2024-01-08,LinkedIn,Q2 Demo,SMB,EU,565.39,22615,973,145,113,37,26,3,151.44,3.88,0.043,0.1499,164.08
2024-01-08,LinkedIn,Product Launch,MM,APAC,533.04,21321,1068,63,47,15,12,2,231.66,8.45,0.0501,0.059,322.75
2024-01-08,LinkedIn,Q4 Holiday,ENT,APAC,2090.93,83637,3950,170,110,38,27,3,615.76,12.28,0.0472,0.0431,323.8
2024-01-08,Content Marketing,Q4 Holiday,SMB,Canada,1452.93,290586,4709,506,386,85,74,21,66.73,2.87,0.0162,0.1075,373.62
2024-01-08,Content Marketing,Q1 Brand,MM,EU,919.04,183807,2217,153,99,34,28,6,148.01,5.98,0.0121,0.0693,505.72
2024-01-08,Content Marketing,Q2 Demo,ENT,US,1415.77,283154,5104,130,87,20,18,2,492.13,10.87,0.018,0.0255,405.39
2024-01-09,Google Ads,Q3 Feature,SMB,US,2331.92,155461,7069,1014,640,203,162,40,57.98,2.3,0.0455,0.1436,430.15
2024-01-09,Google Ads,Webinar Series,MM,EU,4695.73,313048,11059,1357,1065,363,265,59,79.04,3.46,0.0353,0.1228,947.92
2024-01-09,Google Ads,Webinar Series,ENT,EU,7823.04,521535,23165,1711,1347,518,409,55,141.72,4.57,0.0444,0.0739,1410.21
2024-01-09,Facebook Ads,Q1 Brand,SMB,US,5538.69,692336,15297,1511,1008,363,254,62,89.31,3.66,0.0221,0.0988,278.93
2024-01-09,Facebook Ads,Product Launch,MM,US,1987.9,248486,3324,331,221,59,50,10,193.29,5.99,0.0134,0.0998,387.03
2024-01-09,Facebook Ads,Q2 Demo,ENT,US,1497.23,187154,3547,117,74,22,17,2,586.8,12.74,0.019,0.0331,339.83
2024-01-09,LinkedIn,Q1 Brand,SMB,APAC,453.81,18152,930,173,104,34,25,7,57.86,2.61,0.0513,0.1866,431.11
2024-01-09,LinkedIn,Q1 Brand,MM,EU,340.18,13607,592,47,34,7,6,1,266.75,7.18,0.0435,0.08,280.17
2024-01-09,LinkedIn,Q3 Feature,ENT,Canada,2099.04,83961,3669,151,92,27,22,2,711.66,13.82,0.0437,0.0414,280.03
2024-01-09,Content Marketing,Q2 Demo,SMB,EU,1416.57,283314,1989,89,63,14,10,2,692.24,15.76,0.007,0.0452,35.11
2024-01-09,Content Marketing,Product Launch,MM,Canada,577.75,115549,1463,78,47,10,9,2,232.23,7.4,0.0127,0.0533,321.96
2024-01-09,Content Marketing,Q2 Demo,ENT,Canada,973.23,194646,2937,115,85,17,12,1,607.36,8.4,0.0151,0.0394,328.29
2024-01-10,Google Ads,Q4 Holiday,SMB,EU,4213.22,280881,10793,820,508,126,106,30,138.15,5.14,0.0384,0.076,179.96
2024-01-10,Google Ads,Q1 Brand,MM,US,5351.98,356798,13119,1567,1005,259,228,36,146.62,3.41,0.0368,0.1195,510.54
2024-01-10,Google Ads,Product Launch,ENT,Canada,5489.2,365946,9603,613,468,125,94,13,402.21,8.95,0.0262,0.0639,496.25
2024-01-10,Facebook Ads,Q3 Feature,SMB,Canada,4315.77,539470,7006,1031,703,218,171,30,140.0,4.18,0.013,0.1472,177.57
2024-01-10,Facebook Ads,Q4 Holiday,MM,Canada,3211.02,401377,7872,526,407,121,106,23,139.51,6.1,0.0196,0.0669,536.59
2024-01-10,Facebook Ads,Product Launch,ENT,US,2664.28,333035,8453,695,453,103,89,15,174.76,3.83,0.0254,0.0823,1143.45
2024-01-10,LinkedIn,Product Launch,SMB,US,503.69,20147,969,97,58,22,16,3,146.32,5.17,0.0481,0.1006,169.86
2024-01-10,LinkedIn,Q1 Brand,MM,Canada,174.08,6963,347,44,34,8,5,1,131.56,3.9,0.05,0.1281,569.07
2024-01-10,LinkedIn,Product Launch,ENT,APAC,2128.01,85120,4583,343,218,83,65,11,180.08,6.19,0.0538,0.075,1109.63
2024-01-10,Content Marketing,Q1 Brand,SMB,EU,1115.08,223016,1759,189,136,33,26,6,162.47,5.9,0.0079,0.1075,152.88
2024-01-10,Content Marketing,Q2 Demo,MM,EU,723.03,144606,1582,89,63,18,15,3,190.16,8.07,0.0109,0.0566,393.4
2024-01-10,Content Marketing,Webinar Series,ENT,Canada,1028.6,205719,3196,188,115,34,28,2,348.36,5.44,0.0155,0.0591,573.12
2024-01-11,Google Ads,Q2 Demo,SMB,Canada,6723.91,448260,13482,1600,1180,338,253,85,78.22,4.2,0.0301,0.1187,318.63
2024-01-11,Google Ads,Q2 Demo,MM,APAC,5749.61,383307,14844,800,574,156,112,26,215.83,7.19,0.0387,0.0539,346.5
2024-01-11,Google Ads,Q4 Holiday,ENT,EU,4888.35,325889,12822,675,523,181,156,17,284.88,7.24,0.0393,0.0527,701.06
2024-01-11,Facebook Ads,Q1 Brand,SMB,Canada,4286.27,535783,12992,1346,939,229,206,58,73.86,3.18,0.0242,0.1037,337.48
2024-01-11,Facebook Ads,Webinar Series,MM,US,3429.62,428702,8930,772,605,125,105,15,219.25,4.44,0.0208,0.0865,341.07
2024-01-11,Facebook Ads,Q1 Brand,ENT,US,3446.64,430829,8249,552,424,112,96,14,240.82,6.24,0.0191,0.0669,829.5
2024-01-11,LinkedIn,Q1 Brand,SMB,EU,519.22,20768,848,88,54,18,14,3,155.99,5.87,0.0408,0.1044,159.27
2024-01-11,LinkedIn,Q2 Demo,MM,Canada,447.79,17911,827,74,56,14,12,1,296.93,6.02,0.0462,0.0899,251.58
2024-01-11,LinkedIn,Q4 Holiday,ENT,Canada,2133.53,85341,4523,231,182,65,59,10,198.42,9.21,0.053,0.0512,1006.96
2024-01-11,Content Marketing,Q2 Demo,SMB,Canada,1366.95,273390,3540,359,261,97,87,11,123.87,3.8,0.0129,0.1016,200.82
2024-01-11,Content Marketing,Q1 Brand,MM,EU,866.35,173269,3354,395,256,56,43,7,110.28,2.19,0.0194,0.1179,679.1
2024-01-11,Content Marketing,Q4 Holiday,ENT,US,698.17,139633,1654,34,25,6,5,0,698.17,20.1,0.0118,0.021,179.65
2024-01-12,Google Ads,Q4 Holiday,SMB,APAC,6476.48,431765,14465,1710,1235,288,259,73,88.1,3.79,0.0335,0.1182,282.78
2024-01-12,Google Ads,Q4 Holiday,MM,APAC,6750.65,450043,20858,882,560,136,100,20,329.55,7.65,0.0463,0.0423,226.59
2024-01-12,Google Ads,Q4 Holiday,ENT,Canada,4043.92,269594,11679,832,615,142,122,16,248.16,4.86,0.0433,0.0713,804.94
2024-01-12,Facebook Ads,Q2 Demo,SMB,EU,2294.79,286848,4929,1009,723,157,138,41,55.93,2.27,0.0172,0.2049,446.0
2024-01-12,Facebook Ads,Q3 Feature,MM,EU,2387.21,298401,5505,478,349,108,77,16,143.82,4.99,0.0184,0.0869,520.47
2024-01-12,Facebook Ads,Q1 Brand,ENT,US,1251.45,156431,2341,148,103,22,16,2,618.23,8.45,0.015,0.0633,322.5
2024-01-12,LinkedIn,Product Launch,SMB,APAC,396.48,15859,745,89,61,19,17,5,75.05,4.45,0.047,0.1194,332.09
2024-01-12,LinkedIn,Q1 Brand,MM,US,764.77,30590,1064,43,33,12,10,2,348.56,17.66,0.0348,0.0407,214.17
2024-01-12,LinkedIn,Webinar Series,ENT,Canada,2410.24,96409,4778,315,228,80,58,10,222.43,7.64,0.0496,0.066,898.15
2024-01-12,Content Marketing,Webinar Series,SMB,EU,888.9,177780,2222,211,161,59,47,13,68.21,4.2,0.0125,0.0952,365.5
2024-01-12,Content Marketing,Q1 Brand,MM,US,1057.33,211465,3201,151,110,33,29,6,158.33,6.97,0.0151,0.0474,472.7
2024-01-12,Content Marketing,Q2 Demo,ENT,US,1079.97,215994,2979,173,115,37,33,5,213.04,6.24,0.0138,0.0581,937.79
2024-01-13,Google Ads,Webinar Series,SMB,US,4330.35,288689,10496,1665,1021,323,248,49,87.66,2.6,0.0364,0.1587,284.2
2024-01-13,Google Ads,Product Launch,MM,EU,4279.8,285320,10241,909,550,112,86,15,278.03,4.71,0.0359,0.0888,268.76
2024-01-13,Google Ads,Q4 Holiday,ENT,US,7348.29,489885,16920,705,461,184,144,29,245.84,10.42,0.0345,0.0417,812.54
2024-01-13,Facebook Ads,Webinar Series,SMB,EU,1770.13,221266,4268,611,394,85,71,21,82.89,2.89,0.0193,0.1434,300.59
2024-01-13,Facebook Ads,Webinar Series,MM,US,1719.7,214961,5049,482,330,108,84,16,104.01,3.56,0.0235,0.0956,720.09
2024-01-13,Facebook Ads,Webinar Series,ENT,US,3897.89,487236,9342,367,222,73,56,7,526.89,10.61,0.0192,0.0393,378.58
2024-01-13,LinkedIn,Q4 Holiday,SMB,APAC,483.57,19342,1064,140,106,39,33,9,53.03,3.43,0.0551,0.1323,470.4
2024-01-13,LinkedIn,Q3 Feature,MM,EU,311.13,12445,596,65,45,10,7,1,191.47,4.74,0.0479,0.11,390.71
2024-01-13,LinkedIn,Product Launch,ENT,APAC,1661.8,66472,4068,200,123,38,29,3,528.32,8.27,0.0612,0.0494,377.56
2024-01-13,Content Marketing,Q2 Demo,SMB,APAC,809.62,161923,2912,320,196,54,43,10,74.56,2.53,0.018,0.11,334.29
2024-01-13,Content Marketing,Q4 Holiday,MM,EU,524.83,104965,1813,179,135,28,22,4,107.77,2.93,0.0173,0.0989,694.92
2024-01-13,Content Marketing,Product Launch,ENT,APAC,921.0,184200,2540,218,161,50,35,5,174.08,4.21,0.0138,0.086,1147.92
2024-01-14,Google Ads,Q4 Holiday,SMB,APAC,5312.57,354171,7334,814,494,106,83,17,296.09,6.52,0.0207,0.1111,83.44
2024-01-14,Google Ads,Q1 Brand,MM,US,5293.12,352874,9725,1008,645,150,108,24,216.5,5.25,0.0276,0.1037,345.42
2024-01-14,Google Ads,Q4 Holiday,ENT,US,7099.03,473268,19627,998,741,277,233,30,232.61,7.11,0.0415,0.0509,858.82
2024-01-14,Facebook Ads,Q1 Brand,SMB,EU,2420.54,302567,7369,914,698,202,168,50,48.4,2.65,0.0244,0.1241,515.52
2024-01-14,Facebook Ads,Webinar Series,MM,APAC,4735.96,591995,12308,792,613,149,133,24,195.78,5.98,0.0208,0.0644,382.09
2024-01-14,Facebook Ads,Q2 Demo,ENT,APAC,1968.42,246052,4400,260,182,56,47,8,223.47,7.55,0.0179,0.0593,893.99
2024-01-14,LinkedIn,Q1 Brand,SMB,EU,507.6,20304,935,132,81,16,12,2,201.72,3.82,0.0461,0.1421,122.93
2024-01-14,LinkedIn,Q3 Feature,MM,APAC,718.21,28728,1264,129,88,23,18,4,165.43,5.55,0.044,0.1024,452.38
2024-01-14,LinkedIn,Q2 Demo,ENT,Canada,2112.23,84489,4598,346,241,90,79,10,194.83,6.1,0.0544,0.0753,1025.55
2024-01-14,Content Marketing,Webinar Series,SMB,APAC,510.11,102022,1355,201,129,42,34,8,56.72,2.53,0.0133,0.1488,439.78
2024-01-14,Content Marketing,Webinar Series,MM,US,812.33,162466,2629,241,153,38,34,7,113.53,3.36,0.0162,0.0919,659.63
2024-01-14,Content Marketing,Product Launch,ENT,APAC,1097.14,219428,3099,78,60,17,14,2,525.57,14.02,0.0141,0.0252,379.54
2024-01-15,Google Ads,Product Launch,SMB,US,6723.15,448209,10229,1094,868,218,181,35,190.73,6.15,0.0228,0.107,130.08
2024-01-15,Google Ads,Q2 Demo,MM,APAC,6661.58,444105,13342,569,349,81,65,12,535.32,11.7,0.03,0.0427,139.1
2024-01-15,Google Ads,Q1 Brand,ENT,US,6494.4,432960,13657,363,263,89,65,9,718.28,17.84,0.0315,0.0267,277.44
2024-01-15,Facebook Ads,Product Launch,SMB,EU,3847.08,480884,11969,1959,1491,472,413,101,37.92,1.96,0.0249,0.1637,658.23
2024-01-15,Facebook Ads,Q3 Feature,MM,APAC,2740.96,342619,6583,515,363,140,99,19,138.37,5.32,0.0192,0.0783,541.03
2024-01-15,Facebook Ads,Webinar Series,ENT,EU,2869.08,358635,5688,268,188,39,28,4,613.86,10.7,0.0159,0.0472,324.81
2024-01-15,LinkedIn,Product Launch,SMB,APAC,683.27,27330,1315,205,143,47,34,3,187.07,3.33,0.0481,0.1559,132.64
2024-01-15,LinkedIn,Q2 Demo,MM,APAC,312.31,12492,634,54,37,14,10,1,172.53,5.68,0.0508,0.0866,433.71
2024-01-15,LinkedIn,Webinar Series,ENT,Canada,2435.03,97401,4817,251,176,56,49,8,303.9,9.67,0.0495,0.0523,657.11
2024-01-15,Content Marketing,Q3 Feature,SMB,US,865.32,173064,2631,334,245,59,49,13,63.86,2.59,0.0152,0.1271,390.47
2024-01-15,Content Marketing,Q1 Brand,MM,Canada,1490.03,298005,3445,300,240,50,45,7,194.35,4.96,0.0116,0.0873,384.89
2024-01-15,Content Marketing,Q3 Feature,ENT,US,1301.54,260308,3707,204,152,57,44,8,150.43,6.37,0.0142,0.0551,1328.49
2024-01-16,Google Ads,Q1 Brand,SMB,APAC,6784.21,452280,11943,1690,1283,368,318,90,74.77,4.01,0.0264,0.1415,333.34
2024-01-16,Google Ads,Q2 Demo,MM,APAC,5180.75,345383,9601,473,350,97,76,10,502.66,10.94,0.0278,0.0493,148.21
2024-01-16,Google Ads,Q2 Demo,ENT,Canada,4041.56,269437,6934,517,374,109,85,15,263.44,7.81,0.0257,0.0746,758.19
2024-01-16,Facebook Ads,Webinar Series,SMB,Canada,3059.14,382392,9370,971,649,179,139,34,87.94,3.15,0.0245,0.1036,283.27
2024-01-16,Facebook Ads,Webinar Series,MM,US,4022.57,502821,14963,1694,1291,443,395,88,45.69,2.37,0.0298,0.1132,1640.61
2024-01-16,Facebook Ads,Q1 Brand,ENT,US,2747.31,343414,7406,349,216,64,48,8,340.83,7.86,0.0216,0.0472,585.8
2024-01-16,LinkedIn,Product Launch,SMB,EU,302.28,12091,424,53,35,11,9,3,98.06,5.64,0.0351,0.1265,253.94
2024-01-16,LinkedIn,Webinar Series,MM,US,379.34,15173,466,35,26,6,5,0,379.34,10.6,0.0307,0.0768,190.87
2024-01-16,LinkedIn,Q3 Feature,ENT,EU,1699.32,67972,3254,84,67,19,17,2,605.12,20.0,0.0479,0.0261,329.51
2024-01-16,Content Marketing,Q4 Holiday,SMB,EU,826.31,165262,2510,343,247,90,79,20,40.69,2.4,0.0152,0.137,613.43
2024-01-16,Content Marketing,Q1 Brand,MM,APAC,789.4,157880,2054,95,73,27,21,5,136.57,8.29,0.013,0.0463,548.15
2024-01-16,Content Marketing,Q3 Feature,ENT,US,1224.15,244829,3157,195,134,44,32,4,285.68,6.25,0.0129,0.062,699.09
2024-01-17,Google Ads,Q3 Feature,SMB,EU,3746.98,249798,12493,965,721,268,199,53,70.65,3.88,0.05,0.0772,352.84
2024-01-17,Google Ads,Product Launch,MM,EU,6836.88,455791,21132,911,617,197,157,33,206.01,7.5,0.0464,0.0431,363.06
