deal_id,account,segment,owner,stage,amount,created_at,expected_close,last_stage_change,days_in_stage,probability,expected_value,status,source_channel
DEAL_0068,Account_035,SMB,Frank Miller,Negotiation,60441.27,2024-12-06,2025-07-24,2025-02-02,240,0.801,48415.95,Open,Inbound
DEAL_0069,Account_284,ENT,Alice Johnson,Demo,320642.51,2024-05-13,2024-10-25,2024-06-30,457,0.41,131340.24,Open,LinkedIn
DEAL_0070,Account_167,SMB,David Wilson,Discovery,60546.21,2024-05-02,2025-01-13,2024-06-20,467,0.284,17220.43,Open,Content Marketing
DEAL_0071,Account_237,SMB,Alice Johnson,Negotiation,16396.71,2025-03-02,2025-09-07,2025-03-04,210,0.714,11713.69,Open,Google Ads
DEAL_0072,Account_205,ENT,Bob Smith,Closed_Won,481341.31,2024-09-05,2024-12-31,2024-10-22,343,1.0,481341.31,Closed_Won,Content Marketing
DEAL_0073,Account_470,SMB,Bob Smith,Discovery,13283.63,2025-01-17,2025-04-16,2025-03-03,211,0.225,2987.59,Open,LinkedIn
DEAL_0074,Account_043,ENT,Eva Brown,Closed_Won,180849.76,2024-05-22,2024-10-17,2024-05-26,492,0.783,141585.58,Closed_Won,Inbound
DEAL_0075,Account_143,SMB,Bob Smith,Closed_Won,25239.2,2025-05-10,2025-10-07,2025-07-01,91,1.0,25239.2,Closed_Won,Facebook Ads
DEAL_0076,Account_064,SMB,Eva Brown,Closed_Lost,12177.1,2025-06-20,2025-08-01,2025-07-08,84,0.0,0.0,Closed_Lost,Inbound
DEAL_0077,Account_006,MM,Frank Miller,Demo,52901.18,2025-07-13,2026-03-01,2025-08-30,31,0.524,27709.51,Open,LinkedIn
DEAL_0078,Account_366,SMB,Alice Johnson,Closed_Won,18802.31,2024-09-29,2024-12-13,2024-10-12,353,1.0,18802.31,Closed_Won,Inbound
DEAL_0079,Account_429,ENT,Frank Miller,Demo,131643.67,2024-07-05,2025-02-28,2024-07-08,449,0.485,63808.07,Open,Referral
DEAL_0080,Account_228,ENT,Alice Johnson,Discovery,238573.94,2024-08-27,2025-04-20,2024-09-15,380,0.247,58818.78,Open,Referral
DEAL_0081,Account_476,SMB,Bob Smith,Discovery,16837.55,2024-09-09,2025-05-23,2024-09-21,374,0.258,4345.39,Open,LinkedIn
DEAL_0082,Account_015,SMB,Alice Johnson,Demo,20057.6,2025-06-29,2025-09-01,2025-07-25,67,0.419,8403.34,Open,LinkedIn
DEAL_0083,Account_409,SMB,Frank Miller,Discovery,52208.08,2025-02-17,2025-11-29,2025-02-23,219,0.264,13766.66,Open,Facebook Ads
DEAL_0084,Account_056,ENT,Carol Davis,Demo,313834.14,2025-08-16,2026-01-29,2025-09-17,13,0.432,135695.0,Open,LinkedIn
DEAL_0085,Account_203,ENT,David Wilson,Demo,175586.63,2025-03-02,2025-12-26,2025-04-05,178,0.439,77049.88,Open,Google Ads
DEAL_0086,Account_089,SMB,Alice Johnson,Demo,29591.74,2025-06-14,2025-11-12,2025-07-04,88,0.479,14170.93,Open,Content Marketing
DEAL_0087,Account_235,ENT,Bob Smith,Negotiation,195809.34,2025-09-18,2026-02-24,2025-10-01,-1,0.691,135216.45,Open,Google Ads
DEAL_0088,Account_454,ENT,Bob Smith,Negotiation,340602.7,2024-09-18,2024-11-28,2024-09-22,373,0.753,256305.33,Open,Content Marketing
DEAL_0089,Account_275,MM,Eva Brown,Closed_Lost,31594.6,2024-05-07,2024-06-09,2024-06-21,466,0.0,0.0,Closed_Lost,Facebook Ads
DEAL_0090,Account_199,MM,Frank Miller,Discovery,89678.08,2024-11-02,2025-06-11,2024-12-16,288,0.229,20559.88,Open,Inbound
DEAL_0091,Account_453,SMB,Frank Miller,Negotiation,31013.01,2025-04-04,2025-11-12,2025-05-22,131,0.692,21455.69,Open,LinkedIn
DEAL_0092,Account_312,ENT,Eva Brown,Closed_Won,219542.85,2025-07-23,2025-11-15,2025-07-24,68,0.962,211235.31,Closed_Won,Content Marketing
DEAL_0093,Account_361,MM,Alice Johnson,Closed_Lost,214570.98,2025-02-04,2025-04-29,2025-03-13,201,0.0,0.0,Closed_Lost,Facebook Ads
DEAL_0094,Account_378,SMB,David Wilson,Closed_Lost,49034.51,2025-05-26,2025-07-24,2025-06-10,112,0.0,0.0,Closed_Lost,Facebook Ads
DEAL_0095,Account_256,ENT,Carol Davis,Discovery,355658.15,2025-07-31,2025-11-03,2025-08-23,38,0.252,89729.44,Open,Facebook Ads
DEAL_0096,Account_473,SMB,Frank Miller,Closed_Won,52126.4,2025-03-05,2025-04-13,2025-03-20,194,0.993,51748.16,Closed_Won,Referral
DEAL_0097,Account_330,MM,Alice Johnson,Negotiation,32427.1,2025-05-16,2025-09-24,2025-06-05,117,0.6,19459.61,Open,Referral
DEAL_0098,Account_376,MM,Carol Davis,Negotiation,204072.39,2025-09-06,2026-01-02,2025-10-30,-30,0.786,160378.01,Open,LinkedIn
DEAL_0099,Account_341,SMB,Bob Smith,Demo,32818.89,2025-08-06,2026-05-25,2025-10-03,-3,0.517,16968.49,Open,Inbound
DEAL_0100,Account_094,ENT,David Wilson,Demo,62935.03,2024-09-05,2025-03-17,2024-09-25,370,0.434,27305.18,Open,Inbound
DEAL_0101,Account_027,SMB,Frank Miller,Discovery,22216.63,2024-05-15,2024-07-31,2024-05-27,491,0.269,5966.43,Open,Facebook Ads
DEAL_0102,Account_282,SMB,Bob Smith,Demo,17682.15,2025-06-29,2025-10-11,2025-08-05,56,0.396,7001.04,Open,Facebook Ads
DEAL_0103,Account_160,ENT,Bob Smith,Discovery,85718.9,2024-07-21,2025-03-23,2024-08-19,407,0.279,23892.9,Open,Inbound
DEAL_0104,Account_128,SMB,Carol Davis,Demo,17246.51,2024-07-23,2024-11-05,2024-08-30,396,0.425,7332.51,Open,LinkedIn
DEAL_0105,Account_401,ENT,David Wilson,Closed_Won,311832.46,2025-03-08,2025-06-15,2025-05-02,151,0.93,290037.08,Closed_Won,Google Ads
DEAL_0106,Account_226,MM,David Wilson,Closed_Won,26964.44,2024-09-09,2024-11-20,2024-10-09,356,0.842,22699.47,Closed_Won,Referral
DEAL_0107,Account_391,ENT,David Wilson,Closed_Won,192203.02,2025-04-24,2025-09-24,2025-04-25,158,1.0,192203.02,Closed_Won,Content Marketing
DEAL_0108,Account_090,SMB,Carol Davis,Negotiation,22595.55,2025-04-27,2025-11-14,2025-06-12,110,0.782,17676.12,Open,Content Marketing
DEAL_0109,Account_288,MM,Eva Brown,Negotiation,28496.62,2024-06-23,2024-11-02,2024-07-17,440,0.634,18069.77,Open,Content Marketing
DEAL_0110,Account_101,SMB,Bob Smith,Negotiation,77157.11,2025-05-14,2026-01-12,2025-06-13,109,0.842,65001.69,Open,Facebook Ads
DEAL_0111,Account_192,SMB,David Wilson,Discovery,36721.48,2024-05-06,2025-01-07,2024-06-21,466,0.234,8574.72,Open,Content Marketing
DEAL_0112,Account_158,MM,Frank Miller,Closed_Won,65019.32,2024-09-13,2025-01-19,2024-10-14,351,1.0,65008.41,Closed_Won,Referral
DEAL_0113,Account_478,SMB,Eva Brown,Closed_Won,48233.26,2025-08-22,2025-10-22,2025-09-15,15,1.0,48233.26,Closed_Won,Facebook Ads
DEAL_0114,Account_364,SMB,David Wilson,Closed_Won,32519.27,2025-01-12,2025-05-11,2025-02-13,229,0.983,31974.06,Closed_Won,Inbound
DEAL_0115,Account_475,ENT,David Wilson,Negotiation,348341.36,2025-08-02,2026-03-16,2025-08-26,35,0.773,269154.38,Open,Inbound
DEAL_0116,Account_417,SMB,Carol Davis,Demo,25556.39,2024-05-29,2024-08-05,2024-07-26,431,0.417,10645.8,Open,Inbound
DEAL_0117,Account_234,ENT,Frank Miller,Discovery,184715.56,2025-05-02,2025-09-05,2025-06-09,113,0.223,41193.73,Open,Facebook Ads
DEAL_0118,Account_395,MM,Alice Johnson,Demo,73215.32,2025-04-18,2025-06-20,2025-04-25,158,0.454,33239.83,Open,Inbound
DEAL_0119,Account_042,ENT,Eva Brown,Closed_Won,37157.09,2024-08-19,2025-02-15,2024-10-15,350,0.977,36301.21,Closed_Won,Facebook Ads
DEAL_0120,Account_155,MM,Eva Brown,Demo,37038.58,2024-07-20,2024-11-21,2024-09-02,393,0.472,17498.46,Open,Referral
DEAL_0121,Account_449,ENT,Frank Miller,Closed_Won,312413.99,2024-11-19,2025-04-03,2025-01-06,267,0.957,299094.53,Closed_Won,Google Ads
DEAL_0122,Account_384,SMB,Bob Smith,Closed_Lost,32897.18,2024-10-13,2024-11-20,2024-10-30,335,0.0,0.0,Closed_Lost,Inbound
DEAL_0123,Account_252,MM,Alice Johnson,Negotiation,65343.54,2025-09-24,2026-01-05,2025-11-15,-46,0.865,56526.84,Open,Google Ads
DEAL_0124,Account_148,SMB,Frank Miller,Closed_Won,17397.71,2024-04-11,2024-08-25,2024-05-22,496,1.0,17397.71,Closed_Won,Content Marketing
DEAL_0125,Account_069,SMB,Bob Smith,Demo,22337.71,2024-09-12,2024-12-28,2024-10-27,338,0.412,9204.26,Open,Content Marketing
DEAL_0126,Account_417,SMB,Bob Smith,Closed_Lost,20970.18,2025-06-10,2025-08-26,2025-07-16,76,0.0,0.0,Closed_Lost,Facebook Ads
DEAL_0127,Account_099,SMB,Carol Davis,Discovery,37008.76,2025-03-27,2025-12-19,2025-05-14,139,0.21,7769.28,Open,Content Marketing
DEAL_0128,Account_041,MM,Carol Davis,Closed_Lost,172647.72,2025-06-11,2025-09-20,2025-06-21,101,0.0,0.0,Closed_Lost,Google Ads
DEAL_0129,Account_016,MM,Eva Brown,Discovery,123900.66,2024-12-21,2025-03-07,2025-01-11,262,0.251,31050.21,Open,Facebook Ads
DEAL_0130,Account_137,MM,Alice Johnson,Closed_Won,88232.67,2025-06-19,2025-07-21,2025-06-22,100,0.941,83026.56,Closed_Won,Inbound
DEAL_0131,Account_406,ENT,Alice Johnson,Discovery,256027.02,2025-06-23,2025-10-15,2025-07-26,66,0.253,64870.68,Open,Content Marketing
DEAL_0132,Account_388,ENT,Carol Davis,Closed_Lost,72080.22,2025-01-01,2025-03-24,2025-01-31,242,0.0,0.0,Closed_Lost,Referral
DEAL_0133,Account_176,MM,Carol Davis,Negotiation,54214.09,2024-09-16,2025-05-08,2024-11-11,323,0.693,37590.71,Open,Facebook Ads
DEAL_0134,Account_448,MM,Carol Davis,Closed_Won,159043.01,2024-09-08,2024-10-22,2024-09-30,365,1.0,159043.01,Closed_Won,Google Ads
DEAL_0135,Account_309,SMB,Alice Johnson,Closed_Won,16937.67,2024-08-15,2024-10-19,2024-08-16,410,0.951,16106.42,Closed_Won,Referral
DEAL_0136,Account_352,MM,Frank Miller,Demo,55412.78,2024-09-18,2025-03-12,2024-10-27,338,0.437,24217.48,Open,Content Marketing
DEAL_0137,Account_491,ENT,Carol Davis,Closed_Won,94215.7,2025-03-22,2025-04-21,2025-05-01,152,0.919,86547.19,Closed_Won,Google Ads
DEAL_0138,Account_167,ENT,Frank Miller,Negotiation,342044.96,2025-08-15,2026-05-08,2025-10-01,-1,0.764,261288.4,Open,Content Marketing
DEAL_0139,Account_314,SMB,Alice Johnson,Closed_Lost,23166.49,2024-05-22,2024-08-01,2024-07-08,449,0.0,0.0,Closed_Lost,LinkedIn
DEAL_0140,Account_311,MM,Bob Smith,Closed_Won,72977.54,2025-06-20,2025-10-26,2025-07-08,84,0.979,71451.35,Closed_Won,Inbound
DEAL_0141,Account_255,SMB,Alice Johnson,Closed_Lost,32376.35,2024-05-02,2024-05-26,2024-05-10,508,0.0,0.0,Closed_Lost,LinkedIn
DEAL_0142,Account_229,ENT,Alice Johnson,Closed_Lost,66558.63,2024-06-09,2024-07-20,2024-08-05,421,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0143,Account_088,ENT,Frank Miller,Closed_Lost,69703.03,2025-01-27,2025-03-19,2025-02-09,233,0.0,0.0,Closed_Lost,Inbound
DEAL_0144,Account_083,SMB,Carol Davis,Discovery,36697.52,2024-07-12,2025-03-12,2024-07-13,444,0.235,8614.03,Open,Content Marketing
DEAL_0145,Account_488,MM,Frank Miller,Demo,69925.66,2025-01-10,2025-08-28,2025-02-09,233,0.355,24822.58,Open,Google Ads
DEAL_0146,Account_355,ENT,Carol Davis,Demo,395151.9,2024-05-15,2024-08-06,2024-07-04,453,0.482,190437.65,Open,Facebook Ads
DEAL_0147,Account_194,ENT,Frank Miller,Closed_Lost,447366.0,2025-07-26,2025-11-05,2025-08-16,45,0.0,0.0,Closed_Lost,Inbound
DEAL_0148,Account_133,ENT,Alice Johnson,Closed_Won,84897.18,2024-07-10,2024-10-07,2024-07-24,433,1.0,84897.18,Closed_Won,LinkedIn
DEAL_0149,Account_304,SMB,Bob Smith,Discovery,52380.17,2025-07-01,2025-11-25,2025-08-17,44,0.213,11137.89,Open,Inbound
DEAL_0150,Account_161,SMB,David Wilson,Closed_Lost,22948.9,2024-09-19,2024-10-25,2024-11-12,322,0.0,0.0,Closed_Lost,Referral
DEAL_0151,Account_275,ENT,Bob Smith,Discovery,363995.2,2024-11-16,2025-01-30,2024-12-23,281,0.19,69214.22,Open,Content Marketing
DEAL_0152,Account_479,MM,Bob Smith,Negotiation,222975.69,2024-09-22,2025-06-13,2024-11-04,330,0.742,165349.79,Open,Referral
DEAL_0153,Account_005,ENT,Eva Brown,Closed_Lost,379776.7,2025-02-15,2025-03-20,2025-03-12,202,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0154,Account_256,MM,Frank Miller,Demo,100762.19,2024-12-01,2025-09-01,2024-12-15,289,0.346,34816.98,Open,Content Marketing
DEAL_0155,Account_341,SMB,Frank Miller,Closed_Lost,20623.57,2024-12-14,2025-01-21,2025-01-30,243,0.0,0.0,Closed_Lost,Google Ads
DEAL_0156,Account_064,ENT,Carol Davis,Negotiation,244797.17,2024-11-18,2025-05-25,2025-01-01,272,0.627,153545.83,Open,Inbound
DEAL_0157,Account_361,ENT,David Wilson,Closed_Won,208787.04,2025-02-22,2025-07-28,2025-03-12,202,0.918,191692.76,Closed_Won,Google Ads
DEAL_0158,Account_479,MM,Bob Smith,Demo,43564.24,2025-02-27,2025-12-01,2025-04-14,169,0.382,16622.75,Open,Inbound
DEAL_0159,Account_373,ENT,David Wilson,Discovery,308403.57,2025-03-31,2026-01-04,2025-05-01,152,0.278,85682.33,Open,LinkedIn
DEAL_0160,Account_173,ENT,David Wilson,Demo,882198.92,2025-09-08,2026-03-27,2025-10-03,-3,0.384,338471.34,Open,Inbound
DEAL_0161,Account_271,MM,Frank Miller,Negotiation,118855.85,2024-08-26,2025-02-02,2024-08-30,396,0.812,96568.93,Open,LinkedIn
DEAL_0162,Account_166,MM,Eva Brown,Demo,52941.38,2024-08-23,2024-11-15,2024-08-31,395,0.409,21637.62,Open,Google Ads
DEAL_0163,Account_296,ENT,Bob Smith,Negotiation,93531.45,2024-06-19,2025-02-01,2024-06-29,458,0.71,66449.28,Open,Content Marketing
DEAL_0164,Account_112,ENT,Frank Miller,Closed_Won,230477.32,2024-12-06,2025-02-11,2024-12-19,285,1.0,230477.32,Closed_Won,Facebook Ads
DEAL_0165,Account_295,ENT,Alice Johnson,Discovery,433570.41,2024-09-25,2025-05-28,2024-11-18,316,0.21,90882.68,Open,Inbound
DEAL_0166,Account_029,SMB,Alice Johnson,Closed_Won,16851.74,2024-07-20,2024-10-01,2024-09-17,378,1.0,16851.74,Closed_Won,LinkedIn
DEAL_0167,Account_333,MM,Carol Davis,Demo,48367.71,2025-08-08,2025-11-06,2025-09-09,21,0.447,21641.59,Open,Referral
DEAL_0168,Account_061,MM,Bob Smith,Demo,26958.93,2024-08-13,2024-12-13,2024-08-15,411,0.502,13530.33,Open,Content Marketing
DEAL_0169,Account_193,MM,Frank Miller,Negotiation,23803.66,2025-04-07,2025-11-20,2025-05-24,129,0.627,14919.87,Open,Inbound
DEAL_0170,Account_333,ENT,David Wilson,Discovery,417335.02,2024-06-13,2025-03-21,2024-08-04,422,0.298,124366.48,Open,LinkedIn
DEAL_0171,Account_060,ENT,Alice Johnson,Closed_Won,163185.83,2024-09-19,2024-10-21,2024-09-26,369,0.995,162421.09,Closed_Won,Google Ads
DEAL_0172,Account_294,MM,Eva Brown,Closed_Lost,129341.46,2025-02-12,2025-03-06,2025-03-21,193,0.0,0.0,Closed_Lost,Content Marketing
DEAL_0173,Account_331,MM,Frank Miller,Discovery,59952.78,2025-03-29,2025-09-03,2025-04-28,155,0.238,14260.59,Open,Content Marketing
DEAL_0174,Account_033,MM,Frank Miller,Closed_Lost,29294.78,2025-05-25,2025-06-26,2025-06-14,108,0.0,0.0,Closed_Lost,Referral
DEAL_0175,Account_419,SMB,Eva Brown,Closed_Won,23877.04,2025-09-10,2026-01-18,2025-10-15,-15,0.956,22831.59,Closed_Won,Referral
DEAL_0176,Account_276,MM,Frank Miller,Discovery,41116.08,2024-04-17,2025-01-16,2024-05-24,494,0.227,9353.36,Open,Inbound
DEAL_0177,Account_307,SMB,Frank Miller,Demo,34057.98,2025-06-02,2025-09-16,2025-07-27,65,0.49,16677.34,Open,Facebook Ads
DEAL_0178,Account_021,SMB,Bob Smith,Closed_Lost,21227.93,2024-06-30,2024-08-29,2024-07-07,450,0.0,0.0,Closed_Lost,Referral
DEAL_0179,Account_436,SMB,Alice Johnson,Demo,16314.46,2025-07-03,2026-01-22,2025-07-19,73,0.492,8029.27,Open,Google Ads
